ax,ay,az,gx,gy,gz,temp_raw,flags,ax_g,ay_g,az_g,a_mag
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10632,26556,0,0,1,0,0,0,1.329,3.3195,0.0,3.5756567578558207
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10640,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10697,26556,0,0,1,0,0,0,1.3371250000000001,3.3195,0.0,3.5786846068946896
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10706,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10762,26556,0,0,1,0,0,0,1.34525,3.3195,0.0,3.5817283275675726
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10771,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10827,26556,0,0,1,0,0,0,1.353375,3.3195,0.0,3.584787879446286
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10836,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10892,26556,0,0,1,0,0,0,1.3615,3.3195,0.0,3.587863222030628
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10901,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10958,26556,0,0,1,0,0,0,1.36975,3.3195,0.0,3.5910019928287427
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,10966,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13458,26556,0,0,1,0,0,0,1.68225,3.3195,0.0,3.7214305465103066
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13466,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13522,26556,0,0,1,0,0,0,1.69025,3.3195,0.0,3.7250537328339304
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13530,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13587,26556,0,0,1,0,0,0,1.698375,3.3195,0.0,3.728747496227788
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13595,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13651,26556,0,0,1,0,0,0,1.706375,3.3195,0.0,3.7323981420294645
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13659,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13716,26556,0,0,1,0,0,0,1.7145000000000001,3.3195,0.0,3.736119711679485
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13724,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13780,26556,0,0,1,0,0,0,1.7225000000000001,3.3195,0.0,3.7397976549540752
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13788,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13845,26556,0,0,1,0,0,0,1.730625,3.3195,0.0,3.743546866358828
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13853,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13909,26556,0,0,1,0,0,0,1.738625,3.3195,0.0,3.747251945175958
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,13917,26556,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13974,26556,0,0,1,0,0,0,1.74675,3.3195,0.0,3.751028633921634
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
