0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17717,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17725,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17781,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17789,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17846,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17854,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17910,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17918,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17975,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17983,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18039,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18047,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18104,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18112,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18168,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18176,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18233,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18241,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18297,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18305,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18362,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18370,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18426,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18434,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18491,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18499,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18555,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18564,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18620,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18628,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18684,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18693,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18749,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18757,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18814,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18822,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18878,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18886,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18943,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,18951,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19007,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19015,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19072,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19080,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19136,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19144,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19201,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19209,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19265,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19273,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19330,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19338,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
19394,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19402,26556,0,0
